ROC,PR,,,,,,,
0.946017584,0.286742389,,,,,,,
0.885854412,0.243580972,,,,,,,
0.976811089,0.217498852,,,,,,,
0.911750664,0.250026212,,,,,,,
0.956166703,0.514083862,,,,,,,
0.982129354,0.651081771,,,,,,,
0.959913237,0.500246222,,,,,,,
0.913549044,0.320807118,,,,,,,
0.971832172,0.541925031,,,,,,,
0.906015492,0.092126882,,,,,,,
0.941960945,0.199134173,,,,,,,
0.991644852,0.297925016,,,,,,,
0.96505915,0.165533971,,,,,,,
0.999449917,0.292869148,,,,,,,
0.941579075,0.217035564,,,,,,,
nan,nan,,,,,,,
0.743415703,0.000954184,,,,,,,
0.911135953,0.084218312,,,,,,,
0.949407581,0.381493908,,,,,,,
0.955752126,0.391387977,,,,,,,
0.97821155,0.245235912,,,,,,,
0.97921343,0.390730416,,,,,,,
0.958166909,0.175882989,,,,,,,
0.969008094,0.147660882,,,,,,,
0.953387699,0.181970534,,,,,,,
0.959586966,0.161325672,,,,,,,
0.977291864,0.206468499,,,,,,,
0.960333188,0.228323582,,,,,,,
0.950297801,0.229679048,,,,,,,
0.93792786,0.321387246,,,,,,,
0.934246098,0.276779058,,,,,,,
0.925625224,0.287698301,,,,,,,
0.971061596,0.157299113,,,,,,,
0.925384782,0.10056263,,,,,,,
0.907334115,0.215421991,,,,,,,
0.982697207,0.598765494,,,,,,,
0.990230338,0.337011556,,,,,,,
0.963128315,0.311141708,,,,,,,
0.982611736,0.370885602,,,,,,,
0.972846702,0.206325511,,,,,,,
0.952383085,0.208767473,,,,,,,
0.952288599,0.170297615,,,,,,,
0.963880598,0.183840988,,,,,,,
0.972446062,0.412362991,,,,,,,
0.897969394,0.024185519,,,,,,,
0.934024362,0.168305516,,,,,,,
0.951190148,0.186455309,,,,,,,
0.927883605,0.192662742,,,,,,,
0.965936364,0.465044502,,,,,,,
0.935092137,0.273833497,,,,,,,
0.924975053,0.153189728,,,,,,,
0.951472703,0.388887314,,,,,,,
0.955419789,0.378372448,,,,,,,
0.936284391,0.302987424,,,,,,,
0.951143166,0.384879068,,,,,,,
0.962917935,0.165792943,,,,,,,
0.932448321,0.014397765,,,,,,,
0.967884978,0.151557235,,,,,,,
0.974692591,0.302194735,,,,,,,
0.983316271,0.516840526,,,,,,,
0.970302807,0.405913694,,,,,,,
0.893944827,0.197563088,,,,,,,
0.948618776,0.387650431,,,,,,,
0.955564007,0.395080481,,,,,,,
0.959661865,0.391817259,,,,,,,
0.957620216,0.48634628,,,,,,,
0.91420002,0.119114237,,,,,,,
0.832397804,0.059595619,,,,,,,
0.764053488,0.003308335,,,,,,,
0.9513165,0.434246213,,,,,,,
0.849545075,2.92E-05,,,,,,,
0.994794232,0.618781447,,,,,,,
0.837747106,0.036061708,,,,,,,
0.935749472,0.108701563,,,,,,,
0.859699245,0.05114077,,,,,,,
0.951790657,0.132461008,,,,,,,
0.937199363,0.057725094,,,,,,,
0.992472405,0.662274935,,,,,,,
0.916781659,0.034294918,,,,,,,
0.9330635,0.057240493,,,,,,,
0.851986743,0.056129099,,,,,,,
0.872502539,0.043878756,,,,,,,
0.943654423,0.05988644,,,,,,,
0.942846362,0.07388573,,,,,,,
0.948114291,0.3300306,,,,,,,
0.941299071,0.09487346,,,,,,,
0.933977588,0.126210851,,,,,,,
0.9257192,0.30491714,,,,,,,
0.941144386,0.088818671,,,,,,,
0.90082301,0.020714347,,,,,,,
0.979249848,0.175606787,,,,,,,
0.955292796,0.234976617,,,,,,,
0.975763058,0.305642312,,,,,,,
0.980950347,0.339787487,,,,,,,
0.958774183,0.569485481,,,,,,,
0.961557341,0.05804399,,,,,,,
0.887721952,0.233933844,,,,,,,
0.757671753,0.249500787,,,,,,,
0.955042691,0.488997403,,,,,,,
0.950735566,0.5256653,,,,,,,
0.948873694,0.501239014,,,,,,,
0.9596663,0.526256249,,,,,,,
0.917162665,0.259057575,,,,,,,
0.924414024,0.248689789,,,,,,,
0.932224479,0.256113721,,,,,,,
0.904416874,0.414815998,,,,,,,
0.917175697,0.457127957,,,,,,,
0.908720031,0.277106492,,,,,,,
0.907724781,0.273189534,,,,,,,
0.915437693,0.147555461,,,,,,,
0.911311528,0.255840904,,,,,,,
0.903971317,0.284207374,,,,,,,
0.836551391,0.087792488,,,,,,,
0.830352737,0.05466517,,,,,,,
0.940821009,0.37659022,,,,,,,
0.805032218,0.067553423,,,,,,,
0.788031222,0.0795455,,,,,,,
0.952923623,0.271368284,,,,,,,
0.945533754,0.273189723,,,,,,,
0.980156843,0.486986549,,,,,,,
0.969784412,0.193065052,,,,,,,
0.974151317,0.28243677,,,,,,,
0.812798621,0.252933275,,,,,,,
0.819635617,0.061517877,,,,,,,
0.976994687,0.200061247,,,,,,,
0.894651847,0.219758512,,,,,,,
0.943107449,0.455207625,,,,,,,
0.937388385,0.482891365,,,,,,,
0.895840361,0.251975604,,,,,,,
0.893509997,0.177971183,,,,,,,
0.829272115,0.094924276,,,,,,,
0.867385939,0.375258191,,,,,,,
0.973217035,0.285129019,,,,,,,
0.926109548,0.178132266,,,,,,,
0.871560477,0.02216864,,,,,,,
0.946626143,0.200367452,,,,,,,
0.896781222,0.221966136,,,,,,,
0.983884082,0.639582597,,,,,,,
0.985244254,0.488214762,,,,,,,
0.985889559,0.58762295,,,,,,,
0.981730416,0.656726037,,,,,,,
0.983517117,0.401993641,,,,,,,
0.982768743,0.180234744,,,,,,,
0.988299704,0.634208462,,,,,,,
0.931351817,0.394718158,,,,,,,
0.987697199,0.588771455,,,,,,,
0.983063677,0.573895935,,,,,,,
0.982482542,0.602211185,,,,,,,
0.984751118,0.558172859,,,,,,,
0.986486327,0.618878634,,,,,,,
